		Microsoft DHCP Service Activity Log


Event ID  Meaning
00	The log was started.
01	The log was stopped.
02	The log was temporarily paused due to low disk space.
10	A new IP address was leased to a client.
11	A lease was renewed by a client.
12	A lease was released by a client.
13	An IP address was found to be in use on the network.
14	A lease request could not be satisfied because the scope's address pool was exhausted.
15	A lease was denied.
16	A lease was deleted.
17	A lease was expired and DNS records for an expired leases have not been deleted.
18	A lease was expired and DNS records were deleted.
20	A BOOTP address was leased to a client.
21	A dynamic BOOTP address was leased to a client.
22	A BOOTP request could not be satisfied because the scope's address pool for BOOTP was exhausted.
23	A BOOTP IP address was deleted after checking to see it was not in use.
24	IP address cleanup operation has began.
25	IP address cleanup statistics.
30	DNS update request to the named DNS server.
31	DNS update failed.
32	DNS update successful.
33	Packet dropped due to NAP policy.
34	DNS update request failed.as the DNS update request queue limit exceeded.
35	DNS update request failed.
36	Packet dropped because the server is in failover standby role or the hash of the client ID does not match.
50+	Codes above 50 are used for Rogue Server Detection information.

QResult: 0: NoQuarantine, 1:Quarantine, 2:Drop Packet, 3:Probation,6:No Quarantine Information ProbationTime:Year-Month-Day Hour:Minute:Second:MilliSecond.

ID,Date,Time,Description,IP Address,Host Name,MAC Address,User Name, TransactionID, QResult,Probationtime, CorrelationID,Dhcid,VendorClass(Hex),VendorClass(ASCII),UserClass(Hex),UserClass(ASCII),RelayAgentInformation,DnsRegError.
24,06/20/21,00:00:06,Database Cleanup Begin,,,,,0,6,,,,,,,,,0
25,06/20/21,00:00:06,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,00:00:06,Assign,10.8.19.46,Server46.Lab.HanseSecure.de,000C29B58044,,5679012304,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
25,06/20/21,00:00:06,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,00:00:06,Assign,10.8.19.125,Client46.Lab.HanseSecure.de,000C29B55C96,,1543209865,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
24,06/20/21,00:11:06,Database Cleanup Begin,,,,,0,6,,,,,,,,,0
10,06/20/21,00:11:06,Assign,10.8.19.18,Server18.Lab.HanseSecure.de,000C29B5323C,,2222222206,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
25,06/20/21,00:11:06,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,00:11:06,Assign,10.8.19.147,Client68.Lab.HanseSecure.de,000C29B599EA,,1814814801,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
25,06/20/21,00:11:06,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,00:11:06,Assign,10.8.19.40,Server40.Lab.HanseSecure.de,000C29B56F80,,4938271569,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
24,06/20/21,01:11:07,Database Cleanup Begin,,,,,0,6,,,,,,,,,0
10,06/20/21,01:11:07,Assign,10.8.19.169,Client90.Lab.HanseSecure.de,000C29B5D74E,,2086419737,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
25,06/20/21,01:11:07,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,01:11:07,Assign,10.8.19.12,Server12.Lab.HanseSecure.de,000C29B52178,,1481481470,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
25,06/20/21,01:11:07,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,01:11:07,Assign,10.8.19.141,Client62.Lab.HanseSecure.de,000C29B58936,,1740740728,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
24,06/20/21,02:11:07,Database Cleanup Begin,,,,,0,6,,,,,,,,,0
10,06/20/21,02:11:07,Assign,10.8.19.34,Server34.Lab.HanseSecure.de,000C29B55ECC,,4197530833,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
25,06/20/21,02:11:07,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,02:11:07,Assign,10.8.19.163,Client84.Lab.HanseSecure.de,000C29B5C68A,,2012345664,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
25,06/20/21,02:11:07,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,02:11:07,Assign,10.8.19.6,Server6.Lab.HanseSecure.de,000C29B510B4,,7407407353,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
24,06/20/21,03:11:07,Database Cleanup Begin,,,,,0,6,,,,,,,,,0
10,06/20/21,03:11:07,Assign,10.8.19.135,Client56.Lab.HanseSecure.de,000C29B57872,,1666666654,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
25,06/20/21,03:11:07,0 leases expired and 0 leases deleted,,,,,0,6,,,,,,,,,0
10,06/20/21,03:11:07,Assign,10.8.19.28,Server28.Lab.HanseSecure.de,000C29B54E18,,3456790098,0,,,,0x4D53465420352E30,MSFT 5.0,,,,0
